,0,1
0,Wrong Item,Missing Items
1,Positive,Others
2,Positive,Others
3,Positive,Missing Items
4,Company,Others
5,Positive,Delivery
6,Delivery,Positive
7,Positive,Others
8,Positive,Others
9,Positive,Delivery
10,Positive,Others
11,Positive,Others
12,Positive,Company
13,Positive,Company
14,Positive,Others
15,Positive,Delivery
16,Positive,Company
17,Delivery,Positive
18,Positive,Delivery
19,Deffect,Wrong Item
20,Positive,Others
21,Positive,Others
22,Positive,Deffect
23,Missing Items,Positive
24,Missing Items,Deffect
25,Positive,Delivery
26,Positive,Deffect
27,Positive,Others
28,Positive,Deffect
29,Positive,Deffect
30,Positive,Deffect
31,Positive,Delivery
32,Positive,Delivery
33,Positive,Others
34,Positive,Delivery
35,Positive,Company
36,Positive,Delivery
37,Positive,Delivery
38,Positive,Delivery
39,Positive,Delivery
40,Positive,Delivery
41,Positive,Company
42,Positive,Delivery
43,Positive,Deffect
44,Positive,Company
45,Positive,Others
46,Positive,Company
47,Delivery,Positive
48,Positive,Delivery
49,Positive,Company
50,Positive,Delivery
51,Positive,Delivery
52,Positive,Others
53,Delivery,Positive
54,Positive,Delivery
55,Positive,Delivery
56,Positive,Delivery
57,Delivery,Positive
58,Deffect,Positive
59,Deffect,Positive
60,Deffect,Positive
61,Deffect,Positive
62,Deffect,Positive
63,Deffect,Positive
64,Deffect,Positive
65,Deffect,Positive
66,Deffect,Positive
67,Deffect,Positive
68,Deffect,Positive
69,Deffect,Positive
70,Deffect,Positive
71,Deffect,Positive
72,Deffect,Positive
73,Deffect,Positive
74,Positive,Others
75,Positive,Company
76,Positive,Delivery
77,Positive,Company
78,Positive,Others
79,Positive,Others
80,Delivery,Positive
81,Positive,Others
82,Positive,Missing Items
83,Positive,Company
84,Positive,Delivery
85,Missing Items,Wrong Item
86,Missing Items,Wrong Item
87,Missing Items,Wrong Item
88,Positive,Others
89,Missing Items,Wrong Item
90,Positive,Others
91,Delivery,Positive
92,Missing Items,Wrong Item
93,Positive,Delivery
94,Wrong Item,Missing Items
95,Wrong Item,Missing Items
96,Delivery,Positive
97,Missing Items,Deffect
98,Missing Items,Delivery
99,Deffect,Delivery
100,Missing Items,Deffect
101,Missing Items,Wrong Item
102,Delivery,Missing Items
103,Missing Items,Wrong Item
104,Missing Items,Wrong Item
105,Delivery,Positive
106,Positive,Delivery
107,Positive,Others
108,Delivery,Positive
109,Delivery,Positive
110,Missing Items,Wrong Item
111,Wrong Item,Deffect
112,Positive,Company
113,Delivery,Missing Items
114,Missing Items,Positive
115,Company,Positive
116,Delivery,Company
117,Missing Items,Wrong Item
118,Delivery,Positive
119,Positive,Missing Items
120,Wrong Item,Missing Items
121,Positive,Delivery
122,Positive,Delivery
123,Delivery,Positive
124,Positive,Missing Items
125,Positive,Others
126,Delivery,Company
127,Delivery,Deffect
128,Positive,Others
129,Positive,Company
130,Positive,Delivery
131,Positive,Delivery
132,Positive,Company
133,Positive,Company
134,Positive,Company
135,Positive,Company
136,Delivery,Positive
137,Positive,Company
138,Positive,Delivery
139,Positive,Delivery
140,Positive,Delivery
141,Positive,Company
142,Positive,Company
143,Delivery,Positive
144,Company,Deffect
145,Positive,Delivery
146,Positive,Company
147,Delivery,Positive
148,Positive,Company
149,Positive,Delivery
150,Positive,Company
151,Positive,Company
152,Positive,Company
153,Positive,Deffect
154,Positive,Missing Items
155,Company,Positive
156,Company,Positive
157,Missing Items,Deffect
158,Deffect,Wrong Item
159,Company,Others
160,Delivery,Company
161,Delivery,Company
162,Delivery,Positive
163,Positive,Company
164,Delivery,Positive
165,Positive,Deffect
