,0,1
0,Company,Delivery
1,Company,Others
2,Positive,Company
3,Delivery,Missing Items
4,Company,Positive
5,Positive,Company
6,Positive,Company
7,Wrong Item,Missing Items
8,Positive,Company
9,Positive,Company
10,Deffect,Missing Items
11,Others,Positive
12,Positive,Deffect
13,Positive,Others
14,Positive,Deffect
15,Deffect,Others
16,Missing Items,Deffect
17,Positive,Others
18,Missing Items,Wrong Item
19,Deffect,Missing Items
20,Delivery,Missing Items
21,Positive,Others
22,Missing Items,Deffect
23,Missing Items,Deffect
24,Positive,Others
25,Deffect,Missing Items
26,Deffect,Missing Items
27,Deffect,Missing Items
28,Deffect,Missing Items
29,Missing Items,Others
30,Delivery,Wrong Item
31,Positive,Company
32,Deffect,Missing Items
33,Missing Items,Deffect
34,Missing Items,Deffect
35,Positive,Missing Items
36,Positive,Missing Items
37,Missing Items,Wrong Item
38,Delivery,Positive
39,Positive,Others
40,Others,Deffect
41,Missing Items,Wrong Item
42,Positive,Others
43,Others,Deffect
44,Delivery,Others
45,Deffect,Missing Items
46,Positive,Others
47,Positive,Others
48,Positive,Others
49,Positive,Delivery
50,Positive,Company
51,Positive,Company
52,Positive,Company
53,Positive,Others
54,Positive,Others
55,Positive,Others
56,Positive,Others
57,Positive,Others
58,Positive,Others
59,Positive,Others
60,Positive,Others
61,Positive,Others
62,Positive,Others
63,Positive,Others
64,Delivery,Positive
65,Positive,Others
66,Positive,Delivery
67,Positive,Others
68,Positive,Delivery
69,Delivery,Positive
70,Positive,Company
71,Positive,Company
72,Positive,Company
73,Positive,Delivery
74,Positive,Delivery
75,Positive,Delivery
76,Positive,Delivery
77,Positive,Others
78,Positive,Others
79,Positive,Deffect
80,Missing Items,Delivery
81,Positive,Others
82,Positive,Others
83,Positive,Others
84,Positive,Others
85,Positive,Others
86,Delivery,Positive
87,Delivery,Positive
88,Deffect,Missing Items
89,Missing Items,Wrong Item
90,Missing Items,Wrong Item
91,Missing Items,Wrong Item
92,Company,Positive
93,Missing Items,Positive
94,Delivery,Others
95,Company,Positive
96,Positive,Delivery
97,Others,Wrong Item
98,Wrong Item,Missing Items
99,Positive,Missing Items
100,Positive,Missing Items
101,Wrong Item,Delivery
102,Positive,Others
103,Positive,Others
104,Positive,Others
105,Positive,Delivery
106,Delivery,Positive
107,Positive,Others
108,Positive,Others
109,Positive,Others
110,Positive,Others
111,Positive,Others
112,Delivery,Positive
113,Delivery,Positive
114,Positive,Delivery
115,Positive,Others
116,Delivery,Positive
117,Positive,Missing Items
