,0,1
0,Company,Delivery
1,Positive,Delivery
2,Missing Items,Deffect
3,Missing Items,Deffect
4,Missing Items,Positive
5,Missing Items,Wrong Item
6,Missing Items,Positive
7,Missing Items,Positive
8,Missing Items,Deffect
9,Missing Items,Deffect
10,Missing Items,Deffect
11,Deffect,Missing Items
12,Missing Items,Deffect
13,Missing Items,Deffect
14,Missing Items,Deffect
15,Missing Items,Deffect
16,Positive,Deffect
17,Positive,Deffect
18,Positive,Deffect
19,Missing Items,Wrong Item
20,Missing Items,Wrong Item
21,Positive,Others
22,Positive,Others
23,Delivery,Positive
24,Positive,Others
25,Positive,Others
26,Positive,Others
27,Positive,Delivery
28,Delivery,Positive
29,Positive,Delivery
30,Positive,Others
31,Positive,Company
32,Positive,Others
33,Positive,Others
34,Positive,Others
35,Positive,Delivery
36,Positive,Others
37,Positive,Delivery
38,Positive,Delivery
39,Positive,Delivery
40,Positive,Delivery
41,Positive,Company
42,Positive,Company
43,Positive,Company
44,Positive,Others
45,Positive,Others
46,Positive,Delivery
47,Positive,Company
48,Positive,Others
49,Positive,Others
50,Positive,Delivery
51,Positive,Delivery
52,Positive,Company
53,Positive,Others
54,Positive,Delivery
55,Positive,Others
56,Positive,Others
57,Positive,Others
58,Positive,Others
59,Positive,Others
60,Positive,Delivery
61,Positive,Delivery
62,Positive,Others
63,Positive,Company
64,Positive,Delivery
65,Positive,Company
66,Positive,Others
67,Positive,Delivery
68,Positive,Delivery
69,Positive,Delivery
70,Positive,Delivery
71,Positive,Others
72,Positive,Others
73,Positive,Delivery
74,Positive,Delivery
75,Positive,Delivery
76,Positive,Delivery
77,Positive,Others
78,Positive,Others
79,Positive,Others
80,Positive,Others
81,Positive,Others
82,Positive,Others
83,Positive,Others
84,Positive,Others
85,Positive,Company
86,Positive,Delivery
87,Positive,Delivery
88,Positive,Delivery
89,Positive,Company
90,Positive,Company
91,Positive,Company
92,Positive,Delivery
93,Positive,Delivery
94,Positive,Delivery
95,Positive,Delivery
96,Positive,Delivery
97,Positive,Delivery
98,Positive,Delivery
99,Positive,Delivery
100,Positive,Others
101,Positive,Delivery
102,Positive,Company
103,Positive,Delivery
104,Positive,Others
105,Positive,Company
106,Positive,Others
107,Positive,Others
108,Positive,Others
109,Positive,Others
110,Positive,Others
111,Positive,Others
112,Positive,Others
113,Positive,Others
114,Positive,Others
115,Positive,Others
116,Positive,Others
117,Positive,Delivery
118,Positive,Delivery
119,Positive,Delivery
120,Positive,Others
121,Positive,Company
122,Positive,Others
123,Positive,Others
124,Positive,Company
125,Positive,Delivery
126,Positive,Delivery
127,Positive,Delivery
128,Delivery,Positive
129,Positive,Others
130,Delivery,Positive
131,Delivery,Positive
132,Positive,Delivery
133,Positive,Delivery
134,Positive,Delivery
135,Positive,Missing Items
136,Positive,Delivery
137,Delivery,Positive
138,Delivery,Positive
139,Positive,Delivery
140,Positive,Delivery
141,Positive,Delivery
142,Positive,Delivery
143,Positive,Others
144,Positive,Others
145,Positive,Others
146,Positive,Others
147,Positive,Others
148,Positive,Others
149,Positive,Others
150,Positive,Others
151,Positive,Others
152,Positive,Others
153,Positive,Others
154,Positive,Others
155,Positive,Others
156,Positive,Others
157,Positive,Others
158,Positive,Others
159,Positive,Others
160,Positive,Others
161,Positive,Others
162,Positive,Others
163,Positive,Others
164,Positive,Others
165,Positive,Others
166,Positive,Others
167,Positive,Others
168,Positive,Others
169,Positive,Others
170,Positive,Others
171,Positive,Others
172,Positive,Others
173,Positive,Others
174,Positive,Others
175,Positive,Missing Items
176,Positive,Company
177,Positive,Company
178,Positive,Delivery
179,Positive,Others
180,Positive,Others
181,Positive,Delivery
182,Positive,Delivery
183,Positive,Delivery
184,Positive,Deffect
185,Positive,Company
186,Positive,Delivery
187,Positive,Company
188,Positive,Company
189,Positive,Company
190,Positive,Delivery
191,Positive,Company
192,Positive,Others
193,Delivery,Positive
194,Positive,Delivery
195,Positive,Delivery
196,Positive,Delivery
197,Positive,Delivery
198,Positive,Others
199,Positive,Others
200,Positive,Others
201,Positive,Others
202,Positive,Others
203,Positive,Others
204,Positive,Others
205,Missing Items,Positive
206,Positive,Others
207,Positive,Others
208,Positive,Others
209,Positive,Others
210,Positive,Others
211,Positive,Company
212,Missing Items,Wrong Item
213,Positive,Missing Items
214,Missing Items,Positive
215,Positive,Delivery
216,Wrong Item,Missing Items
217,Positive,Delivery
218,Positive,Others
219,Positive,Company
220,Positive,Deffect
