,0,1
0,Positive,Others
1,Positive,Company
2,Positive,Others
3,Positive,Others
4,Delivery,Positive
5,Positive,Delivery
6,Positive,Others
7,Positive,Others
8,Positive,Others
9,Positive,Others
10,Positive,Delivery
11,Positive,Delivery
12,Positive,Delivery
13,Positive,Delivery
14,Positive,Others
15,Positive,Others
16,Positive,Delivery
17,Positive,Delivery
18,Positive,Delivery
19,Positive,Others
20,Positive,Delivery
21,Positive,Others
22,Positive,Delivery
23,Positive,Delivery
24,Positive,Delivery
25,Positive,Delivery
26,Positive,Delivery
27,Positive,Delivery
28,Delivery,Positive
29,Delivery,Positive
30,Positive,Delivery
31,Positive,Others
32,Positive,Delivery
33,Positive,Delivery
34,Positive,Delivery
35,Positive,Delivery
36,Positive,Delivery
37,Positive,Delivery
38,Positive,Delivery
39,Positive,Missing Items
40,Positive,Delivery
41,Positive,Others
42,Positive,Others
43,Positive,Others
44,Positive,Others
45,Positive,Others
46,Positive,Others
47,Positive,Others
48,Positive,Others
49,Positive,Others
50,Positive,Others
51,Positive,Others
52,Positive,Others
53,Positive,Others
54,Positive,Others
55,Positive,Others
56,Positive,Others
57,Positive,Others
58,Positive,Others
59,Positive,Others
60,Positive,Others
61,Positive,Others
62,Positive,Others
63,Positive,Others
64,Positive,Others
65,Positive,Others
66,Positive,Others
67,Positive,Others
68,Positive,Others
69,Positive,Others
70,Positive,Others
71,Positive,Others
72,Positive,Others
73,Positive,Others
74,Positive,Others
75,Positive,Others
76,Positive,Others
77,Positive,Others
78,Positive,Others
79,Positive,Others
80,Positive,Others
81,Positive,Others
82,Positive,Others
83,Positive,Others
84,Positive,Others
85,Positive,Others
86,Positive,Delivery
87,Positive,Others
88,Positive,Others
89,Delivery,Positive
90,Positive,Delivery
91,Positive,Delivery
92,Positive,Others
93,Positive,Company
94,Positive,Others
95,Positive,Others
96,Positive,Others
97,Positive,Delivery
98,Positive,Delivery
99,Positive,Others
100,Positive,Others
101,Positive,Others
102,Positive,Delivery
103,Positive,Delivery
104,Positive,Delivery
105,Positive,Delivery
106,Delivery,Positive
107,Positive,Delivery
108,Positive,Missing Items
109,Positive,Others
110,Positive,Delivery
111,Delivery,Positive
112,Positive,Delivery
113,Positive,Delivery
114,Positive,Delivery
115,Positive,Delivery
116,Positive,Delivery
117,Positive,Deffect
118,Positive,Others
119,Positive,Delivery
120,Positive,Delivery
121,Positive,Delivery
122,Positive,Others
123,Positive,Others
124,Positive,Delivery
125,Positive,Delivery
126,Delivery,Positive
127,Positive,Company
128,Positive,Others
129,Positive,Company
130,Positive,Delivery
131,Positive,Others
132,Delivery,Positive
133,Delivery,Positive
134,Positive,Delivery
135,Delivery,Positive
136,Positive,Others
137,Positive,Delivery
138,Positive,Others
139,Positive,Delivery
140,Delivery,Positive
141,Delivery,Positive
142,Delivery,Positive
143,Delivery,Positive
144,Delivery,Positive
145,Delivery,Positive
146,Delivery,Positive
147,Delivery,Positive
148,Delivery,Positive
149,Positive,Delivery
150,Positive,Delivery
151,Positive,Others
152,Positive,Delivery
153,Positive,Delivery
154,Positive,Delivery
155,Positive,Company
156,Positive,Delivery
157,Positive,Delivery
158,Positive,Delivery
159,Positive,Others
160,Delivery,Positive
161,Positive,Delivery
162,Delivery,Positive
163,Delivery,Positive
164,Positive,Delivery
165,Positive,Delivery
166,Positive,Delivery
167,Positive,Delivery
168,Positive,Delivery
169,Positive,Delivery
170,Positive,Delivery
171,Positive,Delivery
172,Positive,Delivery
173,Deffect,Positive
174,Delivery,Positive
175,Positive,Others
176,Positive,Company
177,Positive,Missing Items
178,Positive,Others
179,Positive,Delivery
180,Positive,Others
181,Positive,Delivery
182,Positive,Delivery
183,Positive,Others
184,Delivery,Positive
185,Positive,Delivery
186,Positive,Others
187,Positive,Delivery
188,Positive,Others
189,Positive,Others
190,Positive,Others
191,Positive,Others
192,Delivery,Positive
193,Positive,Others
194,Positive,Others
195,Positive,Others
196,Positive,Others
197,Positive,Others
198,Positive,Delivery
199,Positive,Delivery
200,Positive,Delivery
201,Positive,Others
202,Positive,Delivery
203,Positive,Others
204,Positive,Others
205,Delivery,Positive
206,Positive,Delivery
207,Positive,Delivery
208,Positive,Delivery
209,Positive,Delivery
210,Positive,Delivery
211,Delivery,Positive
212,Positive,Delivery
213,Positive,Delivery
214,Positive,Delivery
215,Positive,Delivery
216,Positive,Others
217,Positive,Delivery
218,Positive,Others
219,Positive,Others
220,Positive,Others
221,Positive,Delivery
222,Delivery,Positive
223,Positive,Others
224,Positive,Others
225,Positive,Others
226,Positive,Others
227,Positive,Others
228,Positive,Others
229,Positive,Others
230,Positive,Others
231,Positive,Others
232,Positive,Others
233,Positive,Others
234,Positive,Others
235,Positive,Others
236,Positive,Others
237,Positive,Others
238,Positive,Others
239,Positive,Others
240,Positive,Others
241,Positive,Others
242,Positive,Others
243,Positive,Others
244,Positive,Others
245,Positive,Others
246,Positive,Others
247,Positive,Others
248,Positive,Others
249,Positive,Others
250,Positive,Others
251,Positive,Others
252,Positive,Delivery
253,Positive,Others
254,Delivery,Positive
255,Positive,Company
256,Positive,Company
257,Positive,Company
258,Positive,Delivery
259,Positive,Missing Items
260,Positive,Others
261,Positive,Others
262,Positive,Others
263,Positive,Others
264,Positive,Others
265,Positive,Company
266,Positive,Deffect
267,Positive,Delivery
268,Positive,Others
269,Positive,Delivery
270,Positive,Company
271,Positive,Others
272,Positive,Others
273,Positive,Others
274,Positive,Others
275,Positive,Others
276,Positive,Others
277,Positive,Delivery
278,Positive,Company
279,Positive,Others
280,Positive,Others
